type,       attribute1,   attribute2
Classic,    3D Glasses,
Dark,       Tiara,
Classic,    Beanie,
Zombie,     Knitted Cap,
Alien,      Cap,          Small Shades
Dark,       Big Shades,
Zombie,     Eye Patch,
Classic,    Cap,          Regular Shades
Classic,    Cowboy Hat,
Classic,    Eye Patch,
Alien,      Headband,
Classic,    Knitted Cap,
Dark,       3D Glasses,
Zombie,     Regular Shades,
Classic,    Nerd Glasses,
Classic,    Big Shades,
Dark,       Cap,
Zombie,,
Classic,    Knitted Cap,  Regular Shades
Classic,,
Dark,       Classic Shades,
Dark,       Cap,          Regular Shades
Alien,      Classic Shades,
Dark,       Tiara,        Big Shades
Zombie,     Knitted Cap,  Regular Shades
